ID,Accepts,Rejects,Waitlisted,Deferred
124,"Georgia Institute of Technology, Yale University",,,
125,"University of Wisconsin - Madison, Coe College, Lawrence University, Amherst College, Bowdoin College, Swarthmore College, Pomona College, Princeton University, Yale University, Columbia University, University of Pennsylvania, Cornell University","Massachusetts Institute of Technology, Northwestern University, Duke University, Harvard University, Brown University",,
126,"Wellesley College, Boston University, Howard University, Occidental College, Loyola Marymount University, Rutgers University, Drew University","Skidmore College, Swarthmore College, Emory University, Smith College, George Washington University, University of Southern California, Barnard College, Yale University, University of Pennsylvania",,
127,"Fordham University, University of Minnesota - Twin Cities, University of Wisconsin - Madison, George Washington University","University of Pennsylvania, Johns Hopkins, New York University, Northwestern University, Washington University - St Louis, Yale University, Columbia University, Brown University",,
128,"Ohio State, Case Western University, University of California - San Diego, University of California - Santa Barbara","Massachusetts Institute of Technology, California Institute of Technology, Harvard University, Princeton University, Brown University, Yale University, University of Pennsylvania, Duke University, Stanford University, Pomona College",,
129,"Indiana University Bloomington, University of Utah, University of Vermont, University of Richmond, University of Virginia, Denison University, Grinell College, Bates College, Carleton College, Colby College, Occidental College, Middlebury College, Cornell University","University of Chicago, Yale University, Princeton University",,
130,"Rutgers University, Kean University, New Jersey Institute of Technology, Johns Hopkins, Lehigh University",Yale University,,
131,"University of Missouri, Missouri University of Science and Technology","Georgia Institute of Technology, Boston University, Tufts University, Columbia University, Yale University",,
132,"Purdue University, Indiana University Bloomington","Massachusetts Institute of Technology, Northwestern University, Washington University - St Louis, Harvard University, Yale University, Columbia University, Dartmouth College, Princeton University",,
133,"University of North Carolina - Chapel Hill, North Carolina State, East Carolina University","Duke University, Vanderbilt University, Harvard University, Yale University, Princeton University, Brown University, Columbia University, Dartmouth College",,
134,"Purdue University, University of Wisconsin - Madison, University of California - Irvine, Northeastern University","University of Southern California, University of Illinois - Urbana Champaign, Cornell University, Carnegie Mellon, Northwestern University, Rice University, Princeton University, Yale University, Harvard University, Columbia University, University of Pennsylvania, Stanford University, Duke University, University of California - Berkeley, University of California - Los Angeles, University of California - San Diego",,
135,"University of Iowa, University of Massachusetts - Amherst, University of Wisconsin - Madison, University of Florida, University of Washington - St Louis, Brandeis University, University of California - San Diego","Duke University, Northeastern University, Johns Hopkins, University of California - Berkeley, Boston University, Washington University - St Louis, Rice University, Harvard University, Yale University, University of Pennsylvania, Stanford University",,
136,"Pennsylvania State, University of Pittsburgh, University of Illinois - Urbana Champaign, Georgia Institute of Technology, University of Michigan - Ann Arbor, University of Southern California, University of Virginia, University of California - Berkeley, University of California - Los Angeles, Carnegie Mellon, New York University, Cornell University, Dartmouth College, University of Pennsylvania","Stanford University, Princeton University, Yale University, Massachusetts Institute of Technology",,
137,"University of Texas - Austin, Rice University, Northwestern University, Columbia University, Princeton University, Stanford University","Harvard University, Yale University, Duke University, Massachusetts Institute of Technology",,
138,"Georgia Institute of Technology, University of Florida, University of Illinois - Urbana Champaign, University of Southern California, Texas A&M, University of California - Davis, University of California - San Diego, University of California - Santa Cruz, Smith College, Tufts University, Wesleyan University, Carnegie Mellon","Massachusetts Institute of Technology, University of Washington - St Louis, University of California - Berkeley, Duke University, Stanford University, Yale University",,
139,"Amherst College, Boston College, University of California - Berkeley, University of California - Los Angeles, University of California - San Diego, University of California - Santa Cruz, Harvard University, Williams College","Columbia University, Duke University, Princeton University, Stanford University, Tufts University, Yale University",,
140,"Stanford University, Harvard University, Oxford University, University of California - Berkeley, University of California - Los Angeles","Yale University, Princeton University, Massachusetts Institute of Technology",,
